id,num_orders
1028232,121
1127204,118
1212707,115
1082698,46
1400926,46
1284113,222
1197966,217
1132739,183
1057981,81
1095932,96
1454421,46
1149765,293
1166964,446
1010949,377
1409575,45
1181616,27
1456020,283
1264395,56
1472931,233
1412015,83
1461229,135
1014564,123
1485914,57
1345389,57
1006833,57
1174921,26
1175393,26
1152412,29
1497398,23
1363486,22
1366766,19
1192413,19
1319547,288
1337684,264
1479766,203
1460444,913
1139730,526
1115056,682
1335827,91
1385333,776
1096323,795
1230693,770
1027016,49
1181520,86
1306234,184
1271440,1411
1269834,535
1176823,1344
1193098,133
1034878,172
1010243,102
1451807,102
1016845,115
1198021,96
1413802,159
1231223,135
1274226,703
1425142,557
1211593,877
1419190,72
1180223,132
1194932,122
1323477,201
1371595,252
1171521,161
1052384,147
1060921,154
1261811,140
1246502,140
1497466,140
1232717,42
1136112,39
1196334,356
1349533,271
1463406,216
1447686,50
1336105,52
1012855,615
1180646,379
1062490,404
1098228,652
1101375,548
1400016,652
1439889,40
1408468,49
1044490,124
1290002,800
1190633,688
1040430,949
1049366,54
1224120,69
1293810,64
1197335,789
1323989,509
1129467,1509
1229328,48
1164395,43
1217722,56
1171266,83
1024905,83
1343027,104
1141892,48
1302404,44
1170447,710
1140772,143
1103484,562
1387134,20
1117711,19
1472121,34
1289523,309
1091114,244
1043572,325
1103283,85
1265051,89
1168741,143
1052776,116
1206564,132
1302153,116
1083754,29
1097952,53
1251605,32
1333032,353
1086936,157
1088412,197
1236400,60
1244516,62
1380381,47
1495062,316
1439647,562
1019214,351
1316160,468
1022008,482
1138248,639
1052922,23
1181474,13
1046475,19
1216688,325
1067565,333
1008328,322
1430287,139
1406716,127
1105380,130
1248694,614
1252163,293
1443474,560
1033716,67
1300295,67
1311882,67
1257968,98
1226362,78
1030655,88
1210527,30
1278927,36
1232239,68
1133067,341
1382522,525
1219136,384
1498130,34
1251629,33
1032092,21
1249865,133
1207630,133
1144733,133
1436768,27
1148964,45
1237346,147
1206015,94
1105113,106
1430481,38
1001589,120
1224132,114
1074380,260
1097109,230
1211246,200
1390579,245
1473058,370
1186964,310
1222837,65
1342393,21
1170472,226
1170791,272
1046653,221
1195179,155
1332509,146
1438300,150
1435748,589
1052668,264
1227060,423
1342252,59
1143109,44
1394807,71
1448374,81
1028680,71
1079691,81
1402079,65
1424446,74
1133297,330
1076214,726
1173823,380
1488584,23
1072892,24
1277491,26
1290868,195
1048888,195
1138141,195
1473125,46
1196726,52
1179278,21
1282305,73
1359903,70
1355143,79
1095889,42
1250665,56
1426610,74
1390104,278
1051519,267
1337584,229
1332667,1527
1075942,1945
1109804,357
1316684,45
1248315,95
1113611,171
1110867,921
1247289,912
1022953,1344
1160081,174
1120430,216
1487280,237
1020081,1806
1329551,919
1137610,2280
1072530,199
1115708,174
1203532,199
1494216,484
1116374,237
1032497,221
1413930,128
1136118,141
1254872,186
1398257,1357
1364001,303
1369843,1178
1379360,69
1442044,69
1285290,68
1129707,483
1086750,596
1147262,617
1025605,207
1414158,168
1082079,172
1467510,318
1374892,318
1171352,318
1213246,85
1279131,72
1256386,46
1234220,859
1008206,480
1267686,301
1470186,109
1233312,108
1279379,141
1431703,438
1339938,325
1010552,430
1237947,838
1175098,614
1066074,339
1045918,27
1226081,20
1148633,419
1441429,388
1291804,451
1305194,139
1327840,220
1320801,61
1467101,403
1473989,292
1466330,562
1390856,38
1120639,38
1279275,60
1166120,43
1128404,45
1252491,31
1328056,479
1452353,93
1353276,426
1297182,20
1469299,29
1129687,254
1362599,165
1245170,334
1098570,40
1452600,22
1194207,40
1023619,78
1254600,78
1157094,78
1165391,35
1131248,42
1383646,100
1288250,98
1476141,64
1401237,36
1383510,39
1433607,44
1098207,139
1453624,138
1089046,178
1306954,725
1413179,866
1379869,948
1037218,80
1247919,86
1097438,144
1441938,824
1060769,777
1409283,766
1397517,131
1220386,113
1297481,107
1309280,1360
1013813,773
1087803,1499
1256077,93
1328392,84
1197947,125
1134877,165
1149222,184
1321757,119
1364052,150
1346914,141
1343936,763
1284997,429
1443980,731
1272226,53
1267791,34
1049345,53
1300007,624
1220471,508
1486124,616
1183373,147
1076787,147
1218918,143
1351627,195
1333350,192
1312936,220
1477543,39
1408514,35
1256773,37
1174904,286
1392815,294
1389126,317
1074816,85
1124612,70
1318251,79
1089252,287
1396463,287
1289632,442
1083889,364
1121896,224
1004866,280
1234436,32
1311318,44
1476647,39
1419834,242
1188670,270
1260238,226
1263791,89
1070835,75
1433069,137
1349084,599
1360259,230
1022475,434
1037167,49
1492031,49
1057541,50
1483675,60
1463966,60
1474096,74
1440771,52
1452763,61
1382621,278
1035365,638
1355984,131
1140520,13
1168148,270
1052343,270
1370827,270
1055728,51
1053449,44
1368579,44
1208370,82
1027455,54
1147326,44
1203029,40
1389643,41
1482071,67
1411487,286
1043533,286
1294351,298
1409427,185
1000264,116
1016463,268
1224218,28
1485114,25
1006410,75
1221242,200
1031339,460
1153545,260
1182144,87
1194788,103
1082828,50
1265773,374
1154515,100
1105986,405
1293017,25
1272587,63
1027143,43
1179146,89
1342337,36
1269746,35
1369030,206
1109605,114
1099603,236
1319113,15
1155697,23
1218892,124
1493357,124
1202597,124
1116108,33
1229780,24
1391127,33
1085957,39
1267409,39
1245159,54
1378973,58
1079844,161
1024089,161
1463712,143
1268331,355
1058344,346
1417277,254
1056035,77
1343254,78
1262833,63
1272751,414
1013213,385
1263405,436
1204818,90
1333742,64
1043262,65
1449237,642
1080908,343
1073524,955
1196482,177
1068138,207
1320427,109
1184166,219
1228572,240
1075131,239
1128915,175
1182843,83
1094044,362
1209858,645
1222963,332
1037477,44
1001694,62
1054299,77
1371044,146
1254718,146
1086268,146
1003757,38
1448276,50
1489645,240
1491279,134
1408337,133
1360068,116
1316400,107
1110618,217
1146271,351
1474849,286
1352055,156
1245977,68
1165288,112
1081099,116
1441467,17
1336838,286
1106150,228
1190084,70
1232610,147
1321845,105
1159511,266
1441739,203
1096623,253
1474925,25
1118719,28
1297074,21
1054861,229
1208736,420
1161439,143
1282737,117
1194305,117
1353044,117
1063225,15
1116078,18
1075416,23
1088172,42
1320248,197
1271591,255
1127237,160
1243020,79
1416839,79
1172788,80
1473056,40
1060753,17
1053540,217
1261815,200
1489999,150
1133739,29
1384693,32
1072117,169
1023989,106
1183974,190
1171351,18
1004475,25
1080300,11
1164653,16
1444590,27
1169717,101
1399692,123
1393811,61
1177147,11
1455218,17
1478944,47
1415824,47
1041241,47
1045506,12
1210059,25
1139397,21
1008295,21
1406978,42
1470180,41
1326956,83
1268964,196
1267165,300
1414458,409
1105486,494
1246396,20
1223814,57
1208097,44
1426257,577
1402266,408
1273610,826
1082679,158
1061395,125
1448891,236
1121802,592
1017920,381
1220913,621
1201769,35
1214790,28
1055980,29
1143296,35
1161381,66
1049400,34
1388858,66
1367157,50
1056911,59
1363870,613
1206999,190
1220962,742
1244866,21
1161719,32
1492231,218
1492759,174
1408726,170
1337818,117
1136894,105
1050836,133
1157808,135
1438743,117
1092027,147
1286976,24
1244383,25
1220086,25
1014137,108
1460613,77
1269949,79
1022949,34
1118546,36
1006832,361
1461216,324
1333438,286
1014151,1162
1196661,973
1072688,224
1161832,31
1146287,49
1329636,49
1113345,405
1079296,441
1245711,323
1312378,120
1280461,110
1132214,121
1013410,477
1315890,419
1453825,579
1137590,19
1046820,21
1100813,12
1213133,27
1119887,19
1339495,35
1172173,30
1250692,40
1000962,455
1122867,198
1367068,393
1181254,14
1411654,81
1154407,76
1477833,41
1422724,27
1112704,95
1346146,95
1108405,95
1194904,57
1448084,27
1266676,32
1099057,20
1188584,320
1230753,320
1237054,442
1161084,260
1401228,309
1493372,78
1395665,39
1002279,54
1424621,72
1256602,439
1390004,386
1146927,233
1057232,33
1319822,57
1353668,22
1157084,710
1115935,259
1033089,570
1090029,137
1464617,54
1209279,105
1039223,115
1152313,151
1198253,144
1356983,58
1375236,50
1276289,104
1188533,228
1163547,516
1089771,237
1449997,25
1261700,25
1098789,37
1119881,101
1174890,101
1194658,101
1354710,28
1276097,39
1451749,25
1260659,72
1342195,110
1177959,103
1346194,52
1081095,72
1228200,90
1400215,199
1101987,208
1280892,169
1207745,397
1158313,502
1326014,376
1040372,37
1405754,43
1251759,77
1094372,327
1113898,380
1351735,351
1305756,132
1144073,146
1219445,163
1399854,664
1077708,310
1136982,748
1168044,100
1301176,68
1045879,95
1375132,104
1224442,115
1195553,102
1486052,29
1406304,41
1003371,549
1447908,447
1022766,294
1359162,23
1149541,27
1389512,26
1294598,218
1187407,218
1151085,218
1262007,25
1273205,23
1098767,25
1328665,104
1207902,97
1110134,124
1135750,48
1404904,37
1252213,42
1471895,272
1370308,273
1488744,313
1312130,182
1432207,87
1067574,14
1497576,12
1173597,53
1463356,19
1476005,163
1226297,215
1312818,178
1170077,37
1132041,106
1144962,81
1180712,226
1420842,166
1048319,195
1062167,69
1281864,69
1310639,26
1316568,38
1470598,43
1126729,31
1187117,17
1231315,22
1193778,140
1497770,256
1296043,265
1109033,97
1253619,97
1015055,97
1323954,129
1236535,33
1291602,42
1034239,42
1487244,115
1432981,115
1413500,107
1240615,1111
1125250,1035
1049986,1507
1432590,28
1064865,52
1462054,30
1175329,524
1231504,508
1310137,593
1176123,72
1267634,82
1397808,142
1489068,959
1399261,399
1057026,1118
1157087,116
1221970,116
1055041,185
1378097,176
1154169,197
1062376,104
1181839,89
1276632,61
1388270,720
1171130,225
1242759,718
1035528,25
1232845,23
1133643,51
1020633,238
1137724,261
1418017,221
1129706,53
1414426,63
1443244,71
1336913,148
1216868,148
1074099,148
1005733,36
1187232,38
1315006,370
1429640,285
1193124,273
1321067,54
1020914,41
1464172,51
1012356,203
1048213,207
1414658,215
1067356,464
1402145,1431
1205618,619
1102348,32
1439251,65
1141169,48
1429174,646
1360530,650
1078717,979
1034750,256
1292295,297
1464006,240
1207416,818
1081039,452
1038600,902
1434474,36
1420970,48
1493390,37
1062042,44
1407930,40
1309366,53
1494106,73
1253128,56
1230871,664
1103899,170
1178356,520
1270686,20
1461376,19
1055872,35
1027667,84
1150000,127
1035466,144
1015226,76
1004410,64
1225216,125
1261758,125
1009224,125
1164468,31
1234697,75
1072809,101
1405077,118
1133718,27
1090779,20
1220305,21
1455516,189
1077080,192
1381871,230
1497941,549
1405281,452
1184133,517
1297493,81
1351826,44
1351915,21
1303502,230
1103552,199
1074755,522
1054413,191
1100592,78
1265971,139
1062386,726
1005415,307
1454684,647
1098324,110
1463531,110
1128843,49
1200592,165
1337305,165
1130901,163
1101312,57
1423243,47
1358603,70
1040493,452
1023439,645
1402530,259
1148734,24
1115378,44
1138163,176
1089398,176
1111393,176
1441237,107
1073593,44
1353069,85
1237302,149
1068099,55
1296768,114
1407946,45
1341469,101
1099372,74
1310892,159
1190768,324
1070732,213
1249505,90
1235991,246
1260972,86
1207552,32
1043700,23
1311764,55
1387118,242
1193391,198
1091807,286
1240478,84
1494088,122
1347537,128
1102292,374
1088345,187
1446214,304
1033631,41
1291932,40
1048558,32
1374367,71
1379701,253
1324376,329
1000116,177
1213448,20
1246867,156
1414636,156
1390449,156
1440242,91
1382211,35
1248175,30
1395486,30
1222155,27
1031664,165
1022670,140
1280365,236
1034558,41
1147078,69
1459822,55
1099677,207
1348084,247
1220274,85
1209309,106
1184750,106
1190011,179
1319480,105
1305176,149
1251039,11
1312629,99
1031682,87
1034125,96
1046291,17
1444323,93
1317716,147
1057421,93
